District_Name,UnitName,predicted_FIRs_next_year,trend_direction
CHIKKAMAGALURU,KUDUREMUKH PS,6.07,increasing
CHIKKAMAGALURU,HARIHARAPURA PS,16.9,increasing
CHIKKAMAGALURU,CHICKMAGALUR CEN CRIME PS,30.29,increasing
CHIKKAMAGALURU,SINGATAGERE PS,31.79,increasing
CHIKKAMAGALURU,JAYAPURA PS,40.67,increasing
CHIKKAMAGALURU,BANAKAL PS,43.31,increasing
CHIKKAMAGALURU,BALUR PS,43.52,increasing
CHIKKAMAGALURU,BASAVANAHALLI PS,50.99,increasing
CHIKKAMAGALURU,PANCHANAHALLI PS,53.76,increasing
CHIKKAMAGALURU,ALDUR PS,60.12,increasing
CHIKKAMAGALURU,YAGATI PS,62.21,increasing
CHIKKAMAGALURU,GONIBEEDU PS,63.44,increasing
CHIKKAMAGALURU,SRINGERI PS,62.72,increasing
CHIKKAMAGALURU,KALASA PS,63.36,increasing
CHIKKAMAGALURU,CHICKMAGALUR WOMEN PS,71.87,increasing
CHIKKAMAGALURU,MALLANDURU PS,67.6,increasing
CHIKKAMAGALURU,KOPPA PS,71.68,increasing
CHIKKAMAGALURU,CHICKMAGALUR TRAFFIC PS,80.7,increasing
CHIKKAMAGALURU,N.R. PURA PS,88.0,increasing
CHIKKAMAGALURU,LINGADAHALLI PS,100.27,increasing
CHIKKAMAGALURU,LAKKAVALLI PS,106.88,increasing
CHIKKAMAGALURU,BALEHONNUR PS,108.8,increasing
CHIKKAMAGALURU,BIRUR PS,124.16,increasing
CHIKKAMAGALURU,SAKKARAYA PATNA PS,131.3,increasing
CHIKKAMAGALURU,MUDIGERE PS,159.15,increasing
CHIKKAMAGALURU,TARIKERE TOWN PS,172.8,increasing
CHIKKAMAGALURU,KADUR PS,178.99,increasing
CHIKKAMAGALURU,CHICKMAGALUR TOWN PS,208.21,increasing
CHIKKAMAGALURU,AJJAMPURA PS,225.93,increasing
CHIKKAMAGALURU,CHICKMAGALUR RURAL PS,251.68,increasing
CHITRADURGA,CHITRADURGA CEN CRIME PS,20.48,increasing
CHITRADURGA,CHITRADURGA EXTENSION PS,25.81,increasing
CHITRADURGA,CHITRAHALLI GATE PS,35.84,increasing
CHITRADURGA,CHITRADURGA TOWN PS,38.67,increasing
CHITRADURGA,IMANGALA PS,45.73,increasing
CHITRADURGA,ABBINAHOLE PS,42.24,increasing
CHITRADURGA,SRIRAMPURA PS,42.24,increasing
CHITRADURGA,TURUVANUR (JOGI) PS,48.53,increasing
CHITRADURGA,CHITRADURGA WOMEN PS,49.6,increasing
CHITRADURGA,CHITRADURGA TRAFFIC PS,52.0,increasing
CHITRADURGA,THALAK PS,52.0,increasing
CHITRADURGA,RAMPURA PS,56.32,increasing
CHITRADURGA,CHITRADURGA KOTE PS,63.0,increasing
CHITRADURGA,HIRIYUR TOWN PS,65.0,increasing
CHITRADURGA,MOLAKALMURU PS,67.84,increasing
CHITRADURGA,CHALLAKERE PS,77.31,increasing
CHITRADURGA,PARASURAMPURA PS,79.36,increasing
CHITRADURGA,CHITRADURGA RURAL PS,84.33,increasing
CHITRADURGA,NAYAKANHATTI PS,114.4,increasing
CHITRADURGA,HOLALKERE PS,91.65,increasing
CHITRADURGA,HOSADURGA PS,100.8,increasing
CHITRADURGA,BHARAMASAGARA PS,95.33,increasing
CHITRADURGA,CHIKKAJAJUR PS,118.4,increasing
CHITRADURGA,HIRIYUR RURAL PS,124.16,increasing
CID,CYBER CRIME POLICE STATION CID,0.8,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE BHATKAL,0.8,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE HEJAMADY,1.9,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE BELEKERI,1.6,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE GANGOLLI,1.6,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE HONNAVAR,2.8,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE KARWAR,3.93,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE KUMTA,4.27,stable
COASTAL SECURITY POLICE,COASTAL SECURITY POLICE MANGALURU,4.24,stable
DAKSHINA KANNADA,DK CEN CRIME PS,11.2,increasing
DAKSHINA KANNADA,DK WOMEN PS,29.23,increasing
